,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.00016683300054864958,1.0,0.0,100,1024,0
1,1,0.008967469000708661,1.0,1.0,100,1024,0
2,2,0.016283521999866934,1.0,2.0,100,1024,0
3,3,0.02455817699956242,1.0,3.0,100,1024,0
4,4,0.024646952999319183,1.0,4.0,100,1024,0
5,5,0.03156058300010045,1.0,5.0,100,1024,0
6,6,0.03163306299938995,1.0,6.0,100,1024,0
7,7,0.03170901799967396,4.0,8.0,100,1024,0
8,8,0.03176891600014642,4.0,9.0,100,1024,0
9,9,0.037780351000037626,4.0,10.0,100,1024,0
10,10,0.03786104900063947,4.0,11.0,100,1024,0
11,11,0.0379295219991036,4.0,12.0,100,1024,0
12,12,0.03799535100006324,4.0,13.0,100,1024,0
13,13,0.038060177999796,4.0,14.0,100,1024,0
14,14,0.03813004499897943,4.0,15.0,100,1024,0
15,15,0.03819820699936827,4.0,16.0,100,1024,0
16,16,0.038282596000499325,14.0,18.0,100,1024,0
17,17,0.04470293399936054,14.0,19.0,100,1024,0
18,18,0.04479623099905439,14.0,20.0,100,1024,0
19,19,0.04487586499999452,14.0,21.0,100,1024,0
20,20,0.04496788399956131,16.0,23.0,100,1024,0
21,21,0.045043183999951,16.0,24.0,100,1024,0
22,22,0.045120434999262216,16.0,25.0,100,1024,0
23,23,0.04520016700007545,16.0,26.0,100,1024,0
24,24,0.045280206999450456,16.0,27.0,100,1024,0
25,25,0.045360321000771364,16.0,28.0,100,1024,0
26,26,0.04544106799949077,16.0,29.0,100,1024,0
27,27,0.04552594899905671,16.0,30.0,100,1024,0
28,28,0.045610856999701355,16.0,31.0,100,1024,0
29,29,0.04569765999985975,16.0,32.0,100,1024,0
30,30,0.04578355999910855,16.0,33.0,100,1024,0
31,31,0.04587095100032457,16.0,34.0,100,1024,0
32,32,0.0459616799998912,16.0,35.0,100,1024,0
33,33,0.05188428799920075,16.0,36.0,100,1024,0
34,34,0.05199929099944711,16.0,37.0,100,1024,0
35,35,0.05210169299971312,16.0,38.0,100,1024,0
36,36,0.052201533999323146,16.0,39.0,100,1024,0
37,37,0.05231595499935793,17.0,41.0,100,1024,0
38,38,0.05241483999998309,17.0,42.0,100,1024,0
39,39,0.05251178499929665,17.0,43.0,100,1024,0
40,40,0.052612045999921975,17.0,44.0,100,1024,0
41,41,0.05271442099910928,17.0,45.0,100,1024,0
42,42,0.05281633999948099,17.0,46.0,100,1024,0
43,43,0.052919150999514386,17.0,47.0,100,1024,0
44,44,0.05303521899986663,17.0,48.0,100,1024,0
45,45,0.05314593199909723,17.0,49.0,100,1024,0
46,46,0.05325746699963929,17.0,50.0,100,1024,0
47,47,0.053366583000752144,17.0,51.0,100,1024,0
48,48,0.05349092699907487,18.0,53.0,100,1024,0
49,49,0.053603582999130595,18.0,54.0,100,1024,0
50,50,0.05371761899914418,18.0,55.0,100,1024,0
51,51,0.0538687120006216,18.0,56.0,100,1024,0
52,52,0.054094548999273684,18.0,57.0,100,1024,0
53,53,0.054332895000698045,18.0,58.0,100,1024,0
54,54,0.05457687799935229,18.0,59.0,100,1024,0
55,55,0.054821499999889056,18.0,60.0,100,1024,0
56,56,0.05506779700044717,18.0,61.0,100,1024,0
57,57,0.055318187000011676,18.0,62.0,100,1024,0
58,58,0.05556943699957628,18.0,63.0,100,1024,0
59,59,0.05582681499981845,18.0,64.0,100,1024,0
60,60,0.05607770399910805,18.0,65.0,100,1024,0
61,61,0.05634405099954165,18.0,66.0,100,1024,0
62,62,0.05661171099927742,18.0,67.0,100,1024,0
63,63,0.05688090699914028,18.0,68.0,100,1024,0
64,64,0.05714477299989085,18.0,69.0,100,1024,0
65,65,0.0665758619998087,18.0,70.0,100,1024,0
66,66,0.06678227100019285,18.0,71.0,100,1024,0
67,67,0.0669828049994976,18.0,72.0,100,1024,0
68,68,0.06718028400064213,18.0,73.0,100,1024,0
69,69,0.06738029999905848,18.0,74.0,100,1024,0
70,70,0.06758003100003407,18.0,75.0,100,1024,0
71,71,0.06778297200071393,18.0,76.0,100,1024,0
72,72,0.06798642399917298,18.0,77.0,100,1024,0
73,73,0.06824523099930957,18.0,78.0,100,1024,0
74,74,0.06853353299993614,18.0,79.0,100,1024,0
75,75,0.06880543700026465,18.0,80.0,100,1024,0
76,76,0.06908316199951514,18.0,81.0,100,1024,0
77,77,0.06936863500050094,18.0,82.0,100,1024,0
78,78,0.06966268699943612,18.0,83.0,100,1024,0
79,79,0.06995579000067664,18.0,84.0,100,1024,0
80,80,0.07025421599973924,18.0,85.0,100,1024,0
81,81,0.07055073399897083,18.0,86.0,100,1024,0
82,82,0.07085522200031846,18.0,87.0,100,1024,0
83,83,0.07115049300045939,18.0,88.0,100,1024,0
84,84,0.07145283899990318,18.0,89.0,100,1024,0
85,85,0.07175490400004492,18.0,90.0,100,1024,0
