,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.00012594699910550844,1.0,0.0,100,1024,0
1,1,0.005701477999537019,1.0,1.0,100,1024,0
2,2,0.01095383499887248,2.0,3.0,100,1024,0
3,3,0.017815746999986004,2.0,4.0,100,1024,0
4,4,0.017924966999999015,2.0,5.0,100,1024,0
5,5,0.02313349599899084,2.0,6.0,100,1024,0
6,6,0.02320003199929488,2.0,7.0,100,1024,0
7,7,0.023266064999916125,3.0,9.0,100,1024,0
8,8,0.02331800799947814,3.0,10.0,100,1024,0
9,9,0.028404892998878495,3.0,11.0,100,1024,0
10,10,0.02847560199916188,3.0,12.0,100,1024,0
11,11,0.028535993998957565,3.0,13.0,100,1024,0
12,12,0.028594228999281768,3.0,14.0,100,1024,0
13,13,0.028652285000134725,3.0,15.0,100,1024,0
14,14,0.028711048998957267,3.0,16.0,100,1024,0
15,15,0.028784877998987213,24.0,18.0,100,1024,0
16,16,0.028848063999248552,24.0,19.0,100,1024,0
17,17,0.03453690599963011,24.0,20.0,100,1024,0
18,18,0.03462075799870945,24.0,21.0,100,1024,0
19,19,0.03469350999876042,24.0,22.0,100,1024,0
20,20,0.034763903999191825,24.0,23.0,100,1024,0
21,21,0.034833587998946314,24.0,24.0,100,1024,0
22,22,0.034903540999948746,24.0,25.0,100,1024,0
23,23,0.03497400599917455,24.0,26.0,100,1024,0
24,24,0.03504628599876014,24.0,27.0,100,1024,0
25,25,0.035119846999805304,24.0,28.0,100,1024,0
26,26,0.03519437299837591,24.0,29.0,100,1024,0
27,27,0.03526832699935767,24.0,30.0,100,1024,0
28,28,0.03534488399964175,24.0,31.0,100,1024,0
29,29,0.03542448199914361,24.0,32.0,100,1024,0
30,30,0.035503502998835756,24.0,33.0,100,1024,0
31,31,0.03558313199937402,24.0,34.0,100,1024,0
32,32,0.03566394399967976,24.0,35.0,100,1024,0
33,33,0.04125586000009207,24.0,36.0,100,1024,0
34,34,0.04135807499915245,24.0,37.0,100,1024,0
35,35,0.04145321499890997,24.0,38.0,100,1024,0
36,36,0.04155846799949359,25.0,40.0,100,1024,0
37,37,0.04164913999920827,25.0,41.0,100,1024,0
38,38,0.0417388519999804,25.0,42.0,100,1024,0
39,39,0.04183246599859558,25.0,43.0,100,1024,0
40,40,0.041926127998522134,25.0,44.0,100,1024,0
41,41,0.042019814000013866,25.0,45.0,100,1024,0
42,42,0.042114022999157896,25.0,46.0,100,1024,0
43,43,0.04220924099900003,25.0,47.0,100,1024,0
44,44,0.0423060599987366,25.0,48.0,100,1024,0
45,45,0.04240113599917095,25.0,49.0,100,1024,0
46,46,0.04249717899983807,25.0,50.0,100,1024,0
47,47,0.04259525199995551,25.0,51.0,100,1024,0
48,48,0.042709513998488546,26.0,53.0,100,1024,0
49,49,0.04281433199867024,26.0,54.0,100,1024,0
50,50,0.04291595999893616,26.0,55.0,100,1024,0
51,51,0.04301984999983688,26.0,56.0,100,1024,0
52,52,0.043125550999320694,26.0,57.0,100,1024,0
53,53,0.0432321869993757,26.0,58.0,100,1024,0
54,54,0.043340841999452095,26.0,59.0,100,1024,0
55,55,0.043449827999211266,26.0,60.0,100,1024,0
56,56,0.04355880099865317,26.0,61.0,100,1024,0
57,57,0.04366970999944897,26.0,62.0,100,1024,0
58,58,0.043780768999567954,26.0,63.0,100,1024,0
59,59,0.04389706699839735,26.0,64.0,100,1024,0
60,60,0.04401173699989158,26.0,65.0,100,1024,0
61,61,0.04412522899838223,26.0,66.0,100,1024,0
62,62,0.04424311999900965,26.0,67.0,100,1024,0
63,63,0.04436250199978531,26.0,68.0,100,1024,0
64,64,0.04450291299872333,26.0,69.0,100,1024,0
65,65,0.05064142799892579,26.0,70.0,100,1024,0
66,66,0.050839939000070444,26.0,71.0,100,1024,0
67,67,0.05102541499945801,26.0,72.0,100,1024,0
68,68,0.05120981399886659,26.0,73.0,100,1024,0
69,69,0.05139419299848669,26.0,74.0,100,1024,0
70,70,0.05157741799848736,26.0,75.0,100,1024,0
71,71,0.051766691998636816,26.0,76.0,100,1024,0
72,72,0.051955959999759216,26.0,77.0,100,1024,0
73,73,0.05217133499900228,28.0,79.0,100,1024,0
74,74,0.052359558998432476,28.0,80.0,100,1024,0
75,75,0.052553015999365016,28.0,81.0,100,1024,0
76,76,0.052769827998417895,29.0,83.0,100,1024,0
77,77,0.0529631879999215,29.0,84.0,100,1024,0
78,78,0.05316253999990295,29.0,85.0,100,1024,0
79,79,0.05336294900007488,29.0,86.0,100,1024,0
80,80,0.05356476299857604,29.0,87.0,100,1024,0
81,81,0.05376611899919226,29.0,88.0,100,1024,0
82,82,0.0539725639991957,29.0,89.0,100,1024,0
83,83,0.05418033999922045,29.0,90.0,100,1024,0
84,84,0.05438545200013323,29.0,91.0,100,1024,0
85,85,0.05459490299836034,29.0,92.0,100,1024,0
86,86,0.05480416899990814,29.0,93.0,100,1024,0
87,87,0.05501495399948908,29.0,94.0,100,1024,0
88,88,0.05523288899894396,29.0,95.0,100,1024,0
89,89,0.0554330109989678,29.0,96.0,100,1024,0
90,90,0.055594610999833094,29.0,97.0,100,1024,0
91,91,0.055749969998942106,29.0,98.0,100,1024,0
92,92,0.05590435599879129,29.0,99.0,100,1024,0
93,93,0.056060699998852215,29.0,100.0,100,1024,0
94,94,0.056218386998807546,29.0,101.0,100,1024,0
95,95,0.05637322399888944,29.0,102.0,100,1024,0
96,96,0.05653222899854882,29.0,103.0,100,1024,0
97,97,0.05669398799909686,29.0,104.0,100,1024,0
98,98,0.05685251700015215,29.0,105.0,100,1024,0
99,99,0.057013961999473395,29.0,106.0,100,1024,0
100,100,0.057178824999937206,29.0,107.0,100,1024,0
101,101,0.05734486699839181,29.0,108.0,100,1024,0
102,102,0.05751395199877152,29.0,109.0,100,1024,0
103,103,0.05768319899834751,29.0,110.0,100,1024,0
104,104,0.057848790998832555,29.0,111.0,100,1024,0
105,105,0.05801841199900082,29.0,112.0,100,1024,0
106,106,0.05818900499980373,29.0,113.0,100,1024,0
107,107,0.0583641869998246,29.0,114.0,100,1024,0
108,108,0.05853942499925324,29.0,115.0,100,1024,0
109,109,0.05871438399844919,29.0,116.0,100,1024,0
110,110,0.05889203999868187,29.0,117.0,100,1024,0
111,111,0.05906591099846992,29.0,118.0,100,1024,0
112,112,0.059335649999411544,29.0,119.0,100,1024,0
113,113,0.059633736998875975,29.0,120.0,100,1024,0
114,114,0.059915343999819015,29.0,121.0,100,1024,0
115,115,0.06019057499906921,29.0,122.0,100,1024,0
116,116,0.06046041299850913,29.0,123.0,100,1024,0
117,117,0.06073142899913364,29.0,124.0,100,1024,0
118,118,0.06099795399859431,29.0,125.0,100,1024,0
119,119,0.06126961699919775,29.0,126.0,100,1024,0
120,120,0.06154706399865972,29.0,127.0,100,1024,0
121,121,0.06174393899891584,29.0,128.0,100,1024,0
122,122,0.06193470699872705,29.0,129.0,100,1024,0
123,123,0.062148557999535115,31.0,131.0,100,1024,0
124,124,0.06234473699987575,31.0,132.0,100,1024,0
125,125,0.06255140999928699,31.0,133.0,100,1024,0
126,126,0.06275226099933207,31.0,134.0,100,1024,0
127,127,0.06304960499983281,31.0,135.0,100,1024,0
128,128,0.0633812219984975,31.0,136.0,100,1024,0
129,129,0.071014353999999,34.0,138.0,100,1024,0
130,130,0.07123514199884085,34.0,139.0,100,1024,0
131,131,0.07144655399861222,34.0,140.0,100,1024,0
132,132,0.07165606699891214,34.0,141.0,100,1024,0
133,133,0.0718577669995284,34.0,142.0,100,1024,0
134,134,0.07206401099938375,34.0,143.0,100,1024,0
135,135,0.07226834899847745,34.0,144.0,100,1024,0
136,136,0.07249644999865268,36.0,146.0,100,1024,0
137,137,0.07270631699975638,36.0,147.0,100,1024,0
138,138,0.07291417799933697,36.0,148.0,100,1024,0
139,139,0.07311921699874802,36.0,149.0,100,1024,0
140,140,0.07333289399866771,36.0,150.0,100,1024,0
141,141,0.07354737199966621,36.0,151.0,100,1024,0
142,142,0.07375959099954343,36.0,152.0,100,1024,0
143,143,0.07397212399882847,36.0,153.0,100,1024,0
144,144,0.07419055099853722,36.0,154.0,100,1024,0
145,145,0.07440437999866845,36.0,155.0,100,1024,0
146,146,0.074626191999414,36.0,156.0,100,1024,0
147,147,0.07484665499941912,36.0,157.0,100,1024,0
148,148,0.07506956699944567,36.0,158.0,100,1024,0
149,149,0.07529701800012845,36.0,159.0,100,1024,0
150,150,0.07551586099907581,36.0,160.0,100,1024,0
151,151,0.07573523499922885,36.0,161.0,100,1024,0
152,152,0.07595499199851474,36.0,162.0,100,1024,0
153,153,0.07617900599871064,36.0,163.0,100,1024,0
154,154,0.07640949799861119,36.0,164.0,100,1024,0
155,155,0.076637779999146,36.0,165.0,100,1024,0
156,156,0.07686378600010357,36.0,166.0,100,1024,0
157,157,0.0770941849987139,36.0,167.0,100,1024,0
158,158,0.07732459899852984,36.0,168.0,100,1024,0
159,159,0.07755589799853624,36.0,169.0,100,1024,0
160,160,0.07779430999835313,36.0,170.0,100,1024,0
161,161,0.07803187599893135,36.0,171.0,100,1024,0
162,162,0.07829084399963904,37.0,173.0,100,1024,0
163,163,0.07852518399886321,37.0,174.0,100,1024,0
164,164,0.07876592899992829,37.0,175.0,100,1024,0
165,165,0.07900450099987211,37.0,176.0,100,1024,0
166,166,0.07924817699858977,37.0,177.0,100,1024,0
167,167,0.0794920029984496,37.0,178.0,100,1024,0
168,168,0.0797401229992829,37.0,179.0,100,1024,0
169,169,0.07998595899880456,37.0,180.0,100,1024,0
170,170,0.08022834799885459,37.0,181.0,100,1024,0
171,171,0.08047960600015358,37.0,182.0,100,1024,0
172,172,0.08072567499948491,37.0,183.0,100,1024,0
173,173,0.08097536799868976,37.0,184.0,100,1024,0
174,174,0.0812338429986994,37.0,185.0,100,1024,0
175,175,0.0814831729985599,37.0,186.0,100,1024,0
176,176,0.08173045900002762,37.0,187.0,100,1024,0
177,177,0.0819823069996346,37.0,188.0,100,1024,0
178,178,0.08223937599905184,37.0,189.0,100,1024,0
179,179,0.08249401200009743,37.0,190.0,100,1024,0
180,180,0.0827538449993881,37.0,191.0,100,1024,0
